iter	Passed	Remaining
0	152	152291
1	187	93393
2	217	72278
3	245	61247
4	266	53059
5	294	48707
6	367	52168
7	387	48089
8	416	45894
9	440	43626
10	462	41577
11	482	39748
12	503	38247
13	528	37217
14	558	36681
15	582	35847
16	619	35793
17	639	34875
18	660	34110
19	683	33467
20	703	32774
21	726	32278
22	762	32395
23	783	31851
24	803	325	8025	827	31005
26	869	31331
27	896	31129
28	935	31335
29	956	30916
30	971	30372
31	990	29951
32	1004	29438
33	1027	291834	1051	28998
35	1086	29081
36	1147	29874
37	1177	29800
38	1198	29542
39	1217	29231
40	1257	29406
41	1315	30012
42	1320	29378
43	1326	28813
44	1330	28234
45	1335	27699
46	134047	1347	247	1412	28023
48	1442	28004
49	1491	28338
50	1518	28261
51	1565	28534
52	1571	28082
53	1617	28334
54	1653	28416
55	1675	28250
56	1739	28783
57	1746	28358
58	1753	27962
59	1821	28529
60	1865	28715
61	1899	28743
62	1925	28642
63	1990	29104
64	1996	28714
65	2012	28474
66	2018	28102
67	2077	28469
68	2113	28519
69	2133	28347
70	2177	28492
71	2210	28495
72	2228	28295
73	2233	27944
74	2247	27722
75	2255	27422
76	2277	2267	277	2278	2313	278	2379	2343	279	2400	27610
80	2433	27604
81	2482	2440	282	2483	2466	283	2527	27563
84	2563	27591
85	2586	2557	286	2623	27534
87	2688	2634	26967
89	2651	289	2709	27393
90	2727	27247
91	2747	27112
92	2772	27036
93	2794	26932
94	2895	2764	26029
96	2827	26320
97	2843	26168
98	2887	26276
99	2917	26256
100	2967	26414
101	3001	26426
102	3071	26749
103	3109	26792
104	3149	26843
105	3210	27079
106	3234	26997
107	3267	26990
108	3292	26914
109	3315	26827
110	3345	26790
111	3373	26749
112	3421	26858
113	3427	26641
114	3454	26584
115	3504	26706
116	3518	26556
117	3544	26495
118	3570	26434
119	3577	26234
120	3624	26330
121	3661	26351
122	3686	26288
123	3730	26352
124	3757	26301
125	3785	26259
126	3811	26198
127	3819	26018
128	3848	25982
129	3863	25855
130	3892	25819
131	3946	25951
132	3953	25773
133	4011	25921
134	4049	25949
135	4076	25898
136	4103	25848
137	4123	25753
138	4149	25705
139	4173	25634
140	4179	25460
141	4208	25425
142	4226	25329
143	4244	25232
144	4250	25062
145	4263	24940
146	4278	24826
147	4302	24769
148	4316	24651
149	4341	24604
150	4363	24532
151	4389	24486
152	4430	24527
153	4444	24416
154	4450	24259
155	4468	24176
156	4508	24209
157	4531	24150
158	4570	24173
159	4574	24017
160	4616	24055
161	4634	23973
162	4643	23841
163	4672	23817
164	4701	23794
165	4721	23721
166	4760	23747
167	4774	23644
168	4807	23638
169	4829	23579
170	4857	23550
171	4862	23409
172	4870	23282
173	4904	23280
174	4922	23206
175	4961	23227
176	5004	23268
177	5010	177	50178	5069	23251
179	5093	23204
180	5113	23136
181	5144	181	52182	5164	182	5279	23569
183	5305	23527
184	5329	23477
185	53186	5320	23131
187	5326	23005
188	5377	23074
189	5399	23018
190	5431	23005
191	5477	23051
192	5488	22948
193	5520	22936
194	5530	22830
195	5560	22808
196	5586	22772
197	5607	22714
198	5614	198	5724	23043
199	5751	23006
200	5757	22886
201	5791	22878
202	5798	22764
203	5845	22807
204	5873	22776
205	5884	22679
206	5903	22615
207	5922	22549
208	5969	22593
209	5978	22489
210	6004	22452
211	6031	22418
212	6047	22343
213	6114	22456
214	6172	22535
215	6225	22597
216	6242	22526
217	6281	22531
218	6290	22432
219	6298	22330
220	6338	22342
221	6398	22422
222	6423	22382
223	6463	22392
224	6483	22331
225	6502	22270
226	6524	22216
227	6534	22124
228	6546	22040
229	6570	21998
230	6614	22021
231	6649	22013
232	6655	21909
233	6681	21870
234	6727	21901
235	6736	21808
236	6761	21769
237	6793	21750
238	6816	21703
239	6824	21610
240	6837	21533
241	6863	21498
242	6873	21412
243	6908	21403
244	6934	21368
245	6967	21357
246	6988	21303
247	7031	21322
248	7053	21274
249	7098	21294
250	7131	21280
251	7175	21298
252	7217	21309
253	7235	21251
254	7267	21231
255	7343	21340
256	7377	21327
257	7391	21258
258	7407	21194
259	7429	21146
260	7449	21092
261	7472	21049
262	7485	20976
263	7505	20925
264	7522	20865
265	7540	20807
266	7556	20746
267	75268	7558	268	75269	7580	269	76270	7601	270	76271	7644	271	76272	7681	20456
273	7722	20462
274	7729	20376
275	7766	20371
276	7774	20291
277	7825	20322
278	7846	20277
279	7871	20240
280	7893	20197
281	7912	20145
282	7932	282	79283	7951	283	8000	20169
284	80285	8028	20044
286	8036	286	8088	20093
287	8159	20172
288	8185	20138
289	8211	20104
290	8247	20093
291	8256	20019
292	8290	20005
293	8338	20022
294	8345	19943
295	8377	19925
296	8419	19927
297	8444	19892
298	8460	19834
299	8490	19811
300	8518	19781
301	8554	19772
302	8600	19784
303	8624	19744
304	8631	19669
305	8658	19636
306	8688	19612
307	8719	19589
308	8747	19562
309	8784	19552
310	8824	19549
311	8840	19493
312	8871	19471
313	8894	19432
314	8948	19459
315	8990	19459
316	8998	19387
317	9004	19312
318	9056	19334
319	9063	19258
320	9070	19185
321	9143	19252
322	9190	19263
323	9208	19213
324	9249	19210
325	9279	19184
326	9304	19148
327	9321	19098
328	9363	19097
329	9407	19100
330	9430	19061
331	9440	18994
332	9464	18956
333	9482	18908
334	9513	18885
335	9548	18870
336	9565	18818
337	9593	18788
338	9619	18756
339	9635	18704
340	9648	18645
341	9723	18708
342	9766	18707
343	9789	18668
344	9814	18632
345	9853	18624
346	9871	18576
347	9926	18598
348	9950	18561
349	9976	18527
350	9982	18457
351	10002	18412
352	10033	18390
353	10068	18373
354	10105	18360
355	10147	18356
356	10198	18368
357	10266	18410
358	10289	18372
359	10327	18360
360	10385	18383
361	10410	18347
362	10434	18310
363	10452	18263
364	10476	18225
365	10498	18185
366	10516	18139
367	10536	18095
368	10559	18057
369	10567	17993
370	10599	17971
371	10605	17904
372	10681	17955
373	10708	17923
374	10757	17929
375	10802	17927
376	10847	17926
377	10853	17859
378	10894	17851
379	10901	17787
380	10962	17811
381	10975	17755
382	10983	17693
383	11029	17692
384	11065	17676
385	11099	17656
386	11129	17628
387	11151	17590
388	11223	17629
389	11276	17637
390	11283	17574
391	11319	17556
392	11328	17496
393	11365	17480
394	11409	17475
395	11419	17417
396	11484	17444
397	11489	17378
398	11495	17315
399	11567	17351
400	11603	17333
401	11695	17397
402	11733	17382
403	11740	17319
404	11816	17359
405	11868	17364
406	11931	17384
407	11959	17353
408	11980	17312
409	11998	17266
410	12015	17219
411	12063	17216
412	12123	17230
413	12169	17225
414	12212	17214
415	12249	17196
416	12296	17191
417	12303	17130
418	12362	17141
419	12424	17157
420	12484	17170
421	12514	17140
422	12523	17083
423	12597	17113
424	12616	17068
425	12621	17006
426	12629	16948
427	12678	16943
428	12699	16903
429	12759	16914
430	12806	16906
431	12839	16882
432433	12802	166433	12895	16817
434	12931	16796
435436	12911	16633
437	12941	16605
438	12959	16561
439	12994	16538
440	13007	164440441	13031	164441442	13060	164442443	13068	163443	13151	16468
444445	13174	16364
446	13190	16317
447	13222	16292
448	13255	16267
449	13283	16235
450	13330	16226
451	13383	16226
452	13392	16171
453	13457	16184
454	13467	16130
455	13489	16093
456	13511	16054
457	13522	16002
458	13547	15967
459	13574	15935
460	13600	15902
461	13607	15845
462	13664	15848
463	13670	15791
464	13725	15791
465	13753	15760
466	13778	15725
467	13796	15683
468	13813	15639
469	13835	15601
470	13874	15583
471	13907	15557
472	13950	15542
473	13980	15513
474	14009	15483
475	14036	15452
476	14045	15399
477	14073	15368
478	14106	15343
479	14135	15313
480	14158	15276
481	14201	15261
482	14209	15209
483	14213	15152
484	14217	15097
485	14221	150485	14311	15136
486487	14296	150487488	14342	149488489	14373	14959
490	14392	14919
491	14428	14898
492	14464	14875
493	14485	148493	14562	14916
494495	14525	147495496	14534	147496497	14570	146497498	14597	14655
499	14613	146499500	14637	14579
501	14660	145501502	14688	145502503	14715	144503504	14744	144504505	14773	144505506	14812	144506	14904	14492
507508	14871	143508509	14890	143509	15003	14414
510	15011	14365
511	15065	14359
512	15087	14323
513	15102	14279
514	15123	14242
515516	15055	140516517	15111	14060
518	15146	14037
519	15181	14013
520	15204	13978
521	15257	13971
522	15267	13924
523	15312	13909
524	15334	13874
525	15350	13832
526	15365	13791
527	15412	13777
528	15440	13747
529	15464	13714
530	15472	13665
531	15557	13685
532	15577	13648
533	15584	13599
534	15601	13560
535	15608	13512
536	15644	13488
537	15679	13464
538	15705	13432
539	15735	13404
540	15747	133540541	15806	13356
542	15830	13323
543	15837	132543544	15881	132544545	15888	132545	16032	13330
546	16048	13290
547548	15984	13131
549	16035	13119
550	16059	13086
551	16091	13059
552	16131	13039
553	16179	13025
554	16207	12995
555	16237	12966
556	16273	12943
557	16280	12895
558	16336	12888
559	16360	12854
560	16392	12827
561	16419	12796
562	16443	12763
563	16467	12729
564	16487	12693
565	16520	12667
566	16542	12632
567	16562	12597
568	16601	12575
569	16617	12535
570	16638	12500
571	16659	12465
572	16679	12429
573	16711	12402
574	16717	12356
575	16740	12322
576	16759	12286
577	16804	12269
578	16827	12235
579	16833	12190
580	16855	12155
581	16861	12110
582	16879	12073
583	16891	12032
584	16895	11985
585	16899	11939
586	16904	118586	17047	11994
587	17054	11949
588	17079	11917
589	17087	11874
590	17108	11839
591	17117	11797
592	17134	11760
593	17147	11720
594	17164	596	17215	11620
597	17295	11626
598	17326	11599
599	17340	11560
600	17376	11536
601	17416	11514
602	17452	11490
603	17472	11455
604	17478	11411
605	17524	11394
606	17552	11364
607	17558	11320
608	17632	11320
609	17650	11284
610	17656	11240
611	17686	11212
612	17705	11177
613	17725	11143
614	17742	11107
615	17757	11069
616	17790	11043
617	17797	11001
618	17835	10977
619	17847	10938
620	17881	10913
621	17912	10885
622	17920	10844
623	17958	10821
624	17971	10782
625	17983	10744
626	18016	10717
627	18038	10684
628	18089	10669
629	18103	10632
630	18139	10608
631	18178	10584
632	18210	10558
633	18255	10538
634	18280	10507
635	18285	10465
636	18316	10437
637	18329	10400
638	18357	10371
639	18378	10337
640	18406	10308
641	18450	10288
642	18455	10246
643	18462	10206
644	18515	10190
645	18574	10178
646	18595	10145
647	18614	10111
648	18635	10078
649	18672	10054
650	18692	10021
651	18698	9980
652	18722	9948
653	18745	9917
654	18764	9883
655	18790	9853
656	18797	9813
657	18827	9785
658	18846	9752
659	18868	9720
660	18889	9687
661	18919	9660
662	18959	9636
663	18976	9602
664	18999	9571
665	19029	9543
666	19062	9516
667	19073	9479
668	19099	9449
669	19107	9410
670	19113	9371
671	19160	9352
672	19179	9319
673	19198	9286
674	19221	9254
675	19241	9222
676	19261	9189
677	19283	9158
678	19295	9122
679	19316	9089
680	19331	9055
681	19358	9026
682	19387	8998
683	19425	8974
684	19441	8940
685	19455	8905
686	19474	8872
687	19488	8837
68688	19358	873689	19528	8773
690	19594	8762
691	19619	8732
692	19644	8702
693	19657	8667
694	19716	8652
695	19743	8623
696	19753	8587
697	19763	8551
698	19823	8536
699	19919	8536
700	19954	8511
701	19997	8488
702	20025	8460
703	20043	8427
704	20049	8389
705	20137	8385
706	20170	8359
707	20176	8321
708	20253	8312
709	20284	8285
710	20302	8252
711	20316	8217
712	20333	8184
713	20354	8153
714	20376	8122
715	20399	8091
716	20429	8063
717	20455	8033
718	20477	8003
719	20501	7972
720	20522	7941
721	20541	7909
722	20559	7876
72723	20445	77972724	20475	776725	20637	7788
72726	20551	77172727	20557	76872728	20600	76572729	20623	76273730	20643	759731	20804	7616
73732731	20822	76733	20717	7508
734733	20871	75735734	20912	7539
735	20952	7515
736	20992	7491
737	21013	7460
738	21029	7427
739	21047	7394
740	21091	7372
741	21122	7344
742	21131	7309
743	21160	7280
744	21175	7247
745	21208	7221
746	21250	7197
747	21273	7166
748	21312	7142
749	21333	7111
750	21377	7087
751	21394	7055
752	21426	7028
753	21442	6995
754	21493	6974
755	21519	6945
756	21568	6923
757	21590	6893
758	21626	6866
759	21653	6837
760	21671	6806
761	21711	6781
762	21725	6748
763	21745	6717
764	21759	6684
765	21771	6650
766	21776	6615
767	21784	6580
768	21791	6546
769	2179772	21756	6389
773	217771	2181774	21785	6324
775	21810	6295
776	21842	6268
777	21860	6237
778	21886	6209
779	21910	6179
780	21928	6148
781	21953	6120
782	21959	6085
783	21964	6051
784	219782	2203785	220783	2206786	220784	2210787	220785	22150	6030
786	22183	6004
787	22213	5976
788	22264	5954
789	22287	5924
790	22330	5900
791	22350	5869
792	22355	5835
793	22399	5811
794	22441	5786
795	22510	5769
796	22516	5735
797	22563	5711
798	22611	5688
799	22663	5665
800	22695	5638
801	22722	5609
802	22749	5581
803	22780	5553
804	22811	5525
805	22827	5494
806	22854	5465
807	22863	5432
808	22900	5406
809	22918	5376
810	22950	5348
811	22974	5319
812	23006	5291
813	23021	5260
814	23042	5230
815	23080	5204
816	23106	5175
817	23127	5145
818	23144	5115
819	23177	5087
820	23206	5059
821	23232	5030
822	23284	5007
823	23309	4978
824	23345	4952
825	23370	4923
826	23399	4895
827	23424	4865
828	23475	4842
829	23536	4820
830	23595	4798
831	23630	4771
832	23653	4742
833	23695	4716
834	23703	4683
835	23776	4664
836	23799	4634
837	23819	4604
838	23842	4575
839	23850	4542
840	23877	4514
841	23923	4489
842	23979	4465
843	24004	4436
844	24038	4409
845	24085	4384
846	24112	4355
847	24162	4331
848	24206	4305
849	24246	4278
850	24274	4250
851	24299	4220
852	24328	4192
853	24340	4161
854	24389	4136
855	24418	4107
856	24442	4078
857	24480	4051
858	24487	4019
859	24511	3990
860	24555	3964
861	24561	3932
862	24598	3904
863	24629	3876
864	24681	3852
865	24707	3823
866	24715	3791
867	24727	3760
868	24771	3734
869	24779	3702
870	24830	3677
871	24862	3649
872	24888	3620
873	24917	3592
874	24946	3563
875	24977	3535
876	24982	3503
877	24988	3472
878	24993	3440
879	25082	3420
880	25115	3392
881	25162	3366
882	25190	3337
883	25195	3306
884	25213	3276
885	25239	3247
886	25254	3217
887	25283	3188
888	25298	3158
889	25365	3135
890	25385	3105
891	25456	3082
892	25498	3055
893	25532	3027
894	25573	3000
895	25597	2971
896	25616	2941
897	25637	2912
898	25678	2884
899	25710	2856
900	25719	2825
901	25744	2797
902	25762	2767
903	25799	2739
904	25891	2717
905	25913	2688
906	25936	2659
907	25953	2629
908	25971	2599
909	25990	2570
910	26009	2540
911	26052	2513
912	26072	2484
913	26099	2455
914	26132	2427
915	26168	2399
916	26188	2370
917	26196	2340
918	26251	2313
919	26278	2285
920	26302	2256
921	26310	2225
922	26340	2197
923	26348	2167
924	26367	2137
925	26373	2107
926	26401	2079
927	26416	2049
928	26439	2020
929	26468	1992
930	2649933	264931	26540	1936
932	26559	1907
933	26588	1878
934	26616	1850
935	26650	1822
936	26701	1795
937	26725	1766
938	26730	1736
939	26777	1709
940	26803	1680
941	26826	1651
942	26844	1622
943	26866	1593
944	26871	1563
945	26904	1535
946	26927	1507
947	26935	1477
948	26952	1448
949	26968	1419
950	26989	1390
951	26999	1361
952	27006	1331
953	27030	1303
954	27057	1274
955	27071	1245
956	27103	1217
957	27110	1188
958	27142	1160
959	27176	1132
960	27183	1103
961	27221	1075
962	27237	1046
963	27261	1018
964	27283	989
965	27308	961
966	27343	933
967	27366	904
968	27397	876
969	27445	848
970	27465	820
971	27489	791
972	27519	763
973	27529	734
974	27541	706
975	27568	677
976	27582	649
977	27587	620
978	27592	591
979	27607	563
980	27642	535
981	27648	506
982	27652	478
983	27656	449
984	27661	421
985	27665	392
986	27677	364
987	27681	336
988	27687	307
989	27691	279
990	27695	251
991	27700	223
992	27704	195
993	27709	167
994	27713	139
995	27717	111
996	27725	83
997	27730	55
998	27734	27
999	27739	0
